Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Adrian Cosma,M,30.0,180.0,78.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,Bronze
"Alberto ""Albert"" Costa Casal",M,25.0,180.0,78.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Doubles,Bronze
Hctor Jos Costa Massironi,M,22.0,187.0,94.0,Uruguay,URU,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze
Hctor Jos Costa Massironi,M,27.0,187.0,94.0,Uruguay,URU,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Bronze
Marlenis Costa Blanco,F,18.0,177.0,76.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Gold
Marlenis Costa Blanco,F,22.0,177.0,76.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Gold
Marlenis Costa Blanco,F,27.0,177.0,76.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Gold
Charles Gustave Lonce Coste,M,24.0,180.0,79.0,France,FRA,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
"Bernard Patrick ""Pat"" Costello, Jr.",M,27.0,188.0,84.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Double Sculls,Silver
Paul Vincent Costello,M,25.0,178.0,73.0,United States,USA,1920 Summer,1920,Summer,Antwerpen,Rowing,Rowing Men's Double Sculls,Gold
Paul Vincent Costello,M,29.0,178.0,73.0,United States,USA,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Double Sculls,Gold
Paul Vincent Costello,M,33.0,178.0,73.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Double Sculls,Gold
Daniela Costian,F,27.0,182.0,84.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Discus Throw,Bronze
"Candace ""Candy"" Costie (-Burke, -Merrill)",F,21.0,162.0,50.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
Tanguy Cosyns,M,25.0,174.0,70.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Silver
Aubert Ct,M,27.0,160.0,52.0,Canada,CAN,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
"Paul Thomas Ct, II",M,28.0,190.0,89.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Aleksandra Cotti,F,27.0,167.0,65.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver
Frdric Cottier,M,34.0,178.0,72.0,France,FRA,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
